SA2 name,Population density 2020
Shortland - Jesmond,1073.4
Stockton - Fullerton Cove,289.7
Wallsend - Elermore Vale,944.3
Waratah - North Lambton,2454.4
Wickham - Carrington - Tighes Hill,2467.3
Ballina,510.3
Ballina Region,44.3
Bangalow,34.6
Brunswick Heads - Ocean Shores,165.4
Byron Bay,273.8
Evans Head,10.2
Lennox Head - Skennars Head,228.5
Mullumbimby,34
Casino,90.2
Casino Region,1.8
Goonellabah,533
Kyogle,3.7
Lismore,237.7
Lismore Region,12.6
Kingscliff - Fingal Head,407.7
Murwillumbah,390.3
Murwillumbah Region,11.1
Pottsville,76.3
Tweed Heads,206
Banora Point,1716.6
Terranora - North Tumblegum,117.4
Tweed Heads South,998.6
Griffith (NSW),365.2
Griffith Region,0.6
Leeton,27.4
Narrandera,1.1
Tumbarumba,0.8
Tumut,155.5
Tumut Region,1
Cootamundra,4.6
Gundagai,1.6
Junee,3.3
Temora,2
Wagga Wagga - East,316.6
Wagga Wagga - North,99.4
Wagga Wagga - South,742.1
Wagga Wagga - West,229.3
Wagga Wagga Region,1.7
Berry - Kangaroo Valley,17.4
Callala Bay - Currarong,22.4
Culburra Beach,67.7
Ettrema - Sassafras - Budawang,0
Huskisson - Vincentia,154.1
North Nowra - Bomaderry,162.3
Nowra,217.6
St Georges Basin - Erowal Bay,196.1
Sussex Inlet - Berrara,113.8
Tomerong - Wandandian - Woollamia,9.4
Ulladulla,360.5
Ulladulla Region,8.2
Bowral,245
Hill Top - Colo Vale,37.4
Mittagong,136
Moss Vale - Berrima,91.4
Robertson - Fitzroy Falls,7.5
Southern Highlands,5
Baulkham Hills (East),3018.4
Baulkham Hills (West) - Bella Vista,2012.8
Glenhaven,898
West Pennant Hills,1683.5
Castle Hill - Central,1914.6
Castle Hill - East,2721.5
Castle Hill - North,1839.5
Castle Hill - South,2558.3
Castle Hill - West,3389.4
Cherrybrook,2339.7
Kellyville,2611.5
Dural - Kenthurst - Wisemans Ferry,59.6
Galston - Laughtondale,27.7
Bilpin - Colo - St Albans,1.3
Kurrajong Heights - Ebenezer,68.6
Pitt Town - McGraths Hill,144.1
Rouse Hill - Beaumont Hills,983.8
Blacktown (East) - Kings Park,2267.6
Blacktown (North) - Marayong,2680.4
Doonside - Woodcroft,2511.5
Lalor Park - Kings Langley,2199.7
Seven Hills - Toongabbie,2323.5
Blacktown (South),3861.4
Blacktown (West),3615.4
Glenwood,3299.5
Parklea - Kellyville Ridge,3674.7
Riverstone - Marsden Park,512.6
Acacia Gardens,4159.1
Quakers Hill,3161.6
Bidwill - Hebersham - Emerton,3081.4
Glendenning - Dean Park,1694.3
Hassall Grove - Plumpton,3575
Lethbridge Park - Tregear,2011.6
Mount Druitt - Whalan,2734.2
Prospect Reservoir,1.4
Rooty Hill - Minchinbury,1554.3
Banksmeadow,67.1
Botany,3895.3
Mascot - Eastlakes,4814.4
Pagewood - Hillsdale - Daceyville,4234.1
Port Botany Industrial,2.5
Sydney Airport,7.5
Marrickville,5006.5
Petersham - Stanmore,7441.5
Sydenham - Tempe - St Peters,2262.9
Darlinghurst,15283
Erskineville - Alexandria,4473.6
Glebe - Forest Lodge,10153.4
Newtown - Camperdown - Darlington,8667.6
Potts Point - Woolloomooloo,16713
Pyrmont - Ultimo,16536.6
Redfern - Chippendale,12649.9
Surry Hills,14023.1
Sydney - Haymarket - The Rocks,7741.6
Waterloo - Beaconsfield,12221.5
Bondi - Tamarama - Bronte,8007.9
Bondi Beach - North Bondi,9692.7
Bondi Junction - Waverly,7417.8
Centennial Park,1.5
Double Bay - Bellevue Hill,5771.3
Dover Heights,6265.2
Paddington - Moore Park,4557.3
Rose Bay - Vaucluse - Watsons Bay,2457.5
Woollahra,6556.8
Coogee - Clovelly,7453.6
Malabar - La Perouse - Chifley,2281.1
Kensington (NSW),6621.4
Kingsford,8555.7
Maroubra - North,5960.1
Maroubra - South,5533.7
Maroubra - West,5556.6
Randwick - North,9294.3
Randwick - South,4369
Bass Hill - Georges Hall,2670.9
Chullora,445.4
Condell Park,1282.1
Greenacre - Mount Lewis,4071.2
Padstow,2723.3
Panania - Milperra - Picnic Point,1965.4
Revesby,3501.4
Yagoona - Birrong,4138.6
Bankstown - North,6471.6
Bankstown - South,3867.6
Belmore - Belfield,4499.2
Canterbury (South) - Campsie,7160.8
Kingsgrove (North) - Earlwood,3151.7
Punchbowl,4297.3
Roselands,4132.6
Lakemba,8284.6
Wiley Park,7918.6
Hurstville,7408
Mortdale - Penshurst,4153.4
Narwee - Beverly Hills,4365.8
Oatley - Hurstville Grove,3037
Peakhurst - Lugarno,2630.7
Riverwood,4603.2
South Hurstville - Blakehurst,4205.4
Arncliffe - Bardwell Valley,5711.9
Bexley,5380.7
Kingsgrove (South) - Bardwell Park,3631.3
Kogarah,5858.4
Kogarah Bay - Carlton - Allawah,4924.2
Monterey - Brighton-le-Sands - Kyeemagh,4571.1
Rockdale - Banksia,6295.3
Sans Souci - Ramsgate,3773
Concord - Mortlake - Cabarita,3835.8
Concord West - North Strathfield,5347.6
Drummoyne - Rodd Point,5364.8
Five Dock - Abbotsford,4842.2
Balmain,6737.9
Leichhardt - Annandale,6496.2
Lilyfield - Rozelle,4250.1
Ashfield,7319.3
Burwood - Croydon,6296
Canterbury (North) - Ashbury,3944.8
Croydon Park - Enfield,4584.9
Dulwich Hill - Lewisham,7008.8
Haberfield - Summer Hill,4187.2
Homebush,5263
Strathfield,4369.2
Strathfield South,1559.4
Chatswood (East) - Artarmon,6259.9
Chatswood (West) - Lane Cove North,4203.6
Lane Cove - Greenwich,3289.7
St Leonards - Naremburn,4441.9
Willoughby - Castle Cove - Northbridge,2531.6
Asquith - Mount Colah,592.3
Berowra - Brooklyn - Cowan,147.7
Normanhurst - Thornleigh - Westleigh,1928.2
Hornsby - East,5062.1
Hornsby - West,1804
Waitara - Wahroonga (West),5134.7
Gordon - Killara,2000.8
Lindfield - Roseville,2163.2
Pymble,1729.6
St Ives,1239.9
Turramurra,998.7
Wahroonga (East) - Warrawee,1388
Cremorne - Cammeray,6420.6
Crows Nest - Waverton,6643.3
Mosman,3558.8
Neutral Bay - Kirribilli,8736.5
North Sydney - Lavender Bay,6685.1
Balgowlah - Clontarf - Seaforth,2840.1
Manly - Fairlight,3641.8
Avalon - Palm Beach,1518.1
Bayview - Elanora Heights,176
Newport - Bilgola,2400.3
Warriewood - Mona Vale,2260.9
Beacon Hill - Narraweena,3469.1
Cromer,1075.8
Dee Why - North Curl Curl,6856.8
Forestville - Killarney Heights,1502.5
Frenchs Forest - Belrose,877.8
Freshwater - Brookvale,3265
Manly Vale - Allambie Heights,1964.3
Narrabeen - Collaroy,3710.2
Terrey Hills - Duffys Forest,54.8
Camden - Ellis Lane,509.9
Elderslie - Harrington Park,1185.5
Mount Annan - Currans Hill,1322
Bradbury - Wedderburn,549.4
Campbelltown - Woodbine,1577.7
Claymore - Eagle Vale - Raby,913.2
Holsworthy Military Area,0
Ingleburn - Denham Court,868.3
Leumeah - Minto Heights,728.9
Macquarie Fields - Glenfield,1565
Minto - St Andrews,1791.4
Rosemeadow - Glen Alpine,446.6
Bargo,89.1
Douglas Park - Appin,39.3
Picton - Tahmoor - Buxton,97.7
The Oaks - Oakdale,30.5
Blackheath - Megalong Valley,42
Blaxland - Warrimoo - Lapstone,658.7
Blue Mountains - North,0
Katoomba - Leura,342.1
Lawson - Hazelbrook - Linden,246
Springwood - Winmalee,314.4
Wentworth Falls,297.6
Blue Mountains - South,0
Cambridge Park,2436.3
Castlereagh - Cranebrook,418
Emu Plains - Leonay,1045.3
Glenmore Park - Regentville,2357.1
Jamisontown - South Penrith,1983.9
Kingswood - Werrington,1680
Mulgoa - Luddenham - Orchard Hills,75.2
Penrith,1496.4
Warragamba - Silverdale,90.6
Richmond - Clarendon,197.1
Windsor - Bligh Park,681.7
Yarramundi - Londonderry,95.4
Erskine Park,783.3
St Clair,2847.4
Colyton - Oxley Park,2738.8
St Marys - North St Marys,1355.7
Homebush Bay - Silverwater,2323.6
Rookwood Cemetery,1
Auburn - Central,5220.8
Auburn - North,6175.2
Auburn - South,3822.2
Berala,4571.3
Lidcombe,3633.5
Regents Park,2615
Carlingford,3232.1
Ermington - Rydalmere,2459.9
Oatlands - Dundas Valley,3212.2
Chester Hill - Sefton,2882.2
Fairfield - East,2894.5
Granville - Clyde,4113.2
Greystanes - Pemulwuy,2410.3
Guildford - South Granville,3522.1
Guildford West - Merrylands West,4183.2
